throughput,uwThreads,ugThreads,addPipelined,mulPipelined,divPipelined,rcPipelined,sharedRc,sharedRa,ugRepFactor,uwRepFactor,burstFactor,fixedFanout,averageFanout
0.0127,4,8,false,false,false,false,true,true,8,4,1,0,10
0.0169,4,8,false,false,false,false,true,true,8,8,1,0,10
0.0031,8,1,false,false,false,false,true,false,1,1,1,0,10
0.0031,8,1,false,false,false,false,true,false,1,2,1,0,10
0.0031,8,1,false,false,false,false,true,false,1,4,1,0,10
0.0031,8,1,false,false,false,false,true,false,1,8,1,0,10
0.0062,8,1,false,false,false,false,true,false,2,1,1,0,10
0.0063,8,1,false,false,false,false,true,false,2,2,1,0,10
0.0063,8,1,false,false,false,false,true,false,2,4,1,0,10
0.0063,8,1,false,false,false,false,true,false,2,8,1,0,10
0.0099,8,1,false,false,false,false,true,false,4,1,1,0,10
0.0101,8,1,false,false,false,false,true,false,4,2,1,0,10
0.0122,8,1,false,false,false,false,true,false,4,4,1,0,10
0.0122,8,1,false,false,false,false,true,false,4,8,1,0,10
0.0108,8,1,false,false,false,false,true,false,8,1,1,0,10
0.0130,8,1,false,false,false,false,true,false,8,2,1,0,10
0.0156,8,1,false,false,false,false,true,false,8,4,1,0,10
0.0177,8,1,false,false,false,false,true,false,8,8,1,0,10
0.0031,8,1,false,false,false,false,true,true,1,1,1,0,10
0.0031,8,1,false,false,false,false,true,true,1,2,1,0,10
0.0031,8,1,false,false,false,false,true,true,1,4,1,0,10
0.0031,8,1,false,false,false,false,true,true,1,8,1,0,10
0.0061,8,1,false,false,false,false,true,true,2,1,1,0,10
0.0063,8,1,false,false,false,false,true,true,2,2,1,0,10
0.0063,8,1,false,false,false,false,true,true,2,4,1,0,10
0.0063,8,1,false,false,false,false,true,true,2,8,1,0,10
0.0098,8,1,false,false,false,false,true,true,4,1,1,0,10
0.0102,8,1,false,false,false,false,true,true,4,2,1,0,10
0.0121,8,1,false,false,false,false,true,true,4,4,1,0,10
0.0122,8,1,false,false,false,false,true,true,4,8,1,0,10
0.0112,8,1,false,false,false,false,true,true,8,1,1,0,10
0.0114,8,1,false,false,false,false,true,true,8,2,1,0,10
0.0133,8,1,false,false,false,false,true,true,8,4,1,0,10
0.0174,8,1,false,false,false,false,true,true,8,8,1,0,10
0.0061,8,2,false,false,false,false,true,false,1,1,1,0,10
0.0062,8,2,false,false,false,false,true,false,1,2,1,0,10
0.0062,8,2,false,false,false,false,true,false,1,4,1,0,10
0.0061,8,2,false,false,false,false,true,false,1,8,1,0,10
0.0099,8,2,false,false,false,false,true,false,2,1,1,0,10
0.0116,8,2,false,false,false,false,true,false,2,2,1,0,10
0.0117,8,2,false,false,false,false,true,false,2,4,1,0,10
0.0118,8,2,false,false,false,false,true,false,2,8,1,0,10
0.0109,8,2,false,false,false,false,true,false,4,1,1,0,10
0.0128,8,2,false,false,false,false,true,false,4,2,1,0,10
0.0152,8,2,false,false,false,false,true,false,4,4,1,0,10
0.0178,8,2,false,false,false,false,true,false,4,8,1,0,10
0.0111,8,2,false,false,false,false,true,false,8,1,1,0,10
0.0127,8,2,false,false,false,false,true,false,8,2,1,0,10
0.0156,8,2,false,false,false,false,true,false,8,4,1,0,10
0.0177,8,2,false,false,false,false,true,false,8,8,1,0,10
0.0060,8,2,false,false,false,false,true,true,1,1,1,0,10
0.0061,8,2,false,false,false,false,true,true,1,2,1,0,10
0.0061,8,2,false,false,false,false,true,true,1,4,1,0,10
0.0062,8,2,false,false,false,false,true,true,1,8,1,0,10
0.0101,8,2,false,false,false,false,true,true,2,1,1,0,10
0.0103,8,2,false,false,false,false,true,true,2,2,1,0,10
0.0122,8,2,false,false,false,false,true,true,2,4,1,0,10
0.0117,8,2,false,false,false,false,true,true,2,8,1,0,10
